order_id,customer_id,order_date,status
1,233,2026-05-23 11:55:54.146317,cancelled
2,242,2026-06-10 15:55:30.410479,pending
3,349,2025-07-02 10:01:53.193060,completed
4,361,2024-07-25 14:25:44.067648,pending
5,463,2025-05-29 08:30:21.091829,completed
6,267,2025-02-17 21:41:57.133893,completed
7,461,2025-01-03 19:52:40.264840,cancelled
8,234,2024-07-24 04:51:46.094558,completed
9,12,2025-04-17 20:51:56.339160,cancelled
10,24,2025-05-15 16:40:34.243701,completed
11,458,2025-09-01 09:41:25.818479,completed
12,394,2025-05-03 06:55:28.324050,refunded
13,192,2024-11-15 04:40:58.721982,refunded
14,193,2026-01-08 09:07:01.045654,completed
15,441,2025-04-29 14:45:42.679628,cancelled
16,373,2025-04-21 07:30:44.843138,refunded
17,238,2025-01-27 00:45:52.250929,pending
20,453,2026-01-28 09:50:20.216132,cancelled
21,229,2026-05-14 15:12:15.762742,pending
22,206,2026-02-28 20:20:12.390578,pending
23,72,2025-12-01 01:06:19.796876,pending
24,164,2025-02-11 21:08:18.696481,completed
26,32,2026-03-01 17:57:56.028270,completed
27,348,2025-05-16 13:09:11.249010,refunded
28,344,2026-04-03 09:09:27.785829,completed
29,154,2024-11-29 04:11:44.384582,refunded
30,154,2025-02-15 11:21:58.813152,completed
31,212,2025-10-27 04:01:04.191084,completed
32,105,2025-10-13 04:03:22.067913,completed
33,275,2025-02-02 17:14:43.822503,pending
35,287,2024-12-03 02:33:17.723897,completed
37,246,2024-08-24 04:26:46.400554,completed
39,184,2024-12-01 18:05:21.394053,completed
40,412,2024-10-01 15:19:48.962667,refunded
41,190,2025-01-31 13:43:13.482135,pending
42,9,2025-12-23 08:47:33.073265,completed
43,79,2026-01-01 01:36:45.731693,completed
44,282,2025-01-04 23:50:32.844049,pending
45,495,2024-11-06 00:02:05.083033,pending
47,278,2025-03-25 16:34:21.329078,refunded
48,39,2025-03-03 12:44:00.397416,completed
49,432,2026-02-22 22:06:38.763971,completed
50,234,2026-07-17 22:08:12.016596,cancelled
52,9,2026-02-17 01:11:55.543891,completed
53,417,2025-03-17 04:04:52.737734,completed
54,471,2026-03-27 02:58:09.739559,cancelled
55,418,2026-06-14 02:05:13.581858,refunded
56,236,2024-08-28 20:45:28.480335,pending
57,435,2026-02-05 12:41:42.261973,completed
58,208,2024-09-09 01:48:09.933273,completed
59,88,2025-06-27 08:42:29.420753,completed
60,440,2024-12-06 07:44:36.898229,completed
61,462,2026-03-25 15:47:00.286318,completed
62,39,2026-03-07 21:58:04.686127,cancelled
63,92,2026-03-15 22:50:16.402165,cancelled
64,386,2024-10-16 00:29:31.261407,completed
65,289,2026-01-31 01:04:54.289188,refunded
66,170,2025-01-16 19:00:32.968927,pending
67,41,2026-02-02 07:04:22.461711,completed
68,430,2025-06-07 12:05:57.019031,cancelled
69,497,2026-01-08 17:54:10.895463,refunded
70,252,2024-08-12 09:48:24.848732,completed
71,300,2025-06-20 13:27:07.852412,pending
72,366,2026-02-02 03:03:06.425239,pending
73,79,2025-08-03 14:40:53.261840,completed
74,158,2026-07-06 08:18:15.288444,completed
75,221,2025-06-29 07:40:15.794707,completed
77,7,2025-03-03 22:04:19.705728,refunded
78,464,2025-03-11 22:06:33.500547,pending
79,87,2025-10-21 12:31:34.536479,completed
80,223,2024-08-18 17:54:13.602682,completed
81,484,2026-06-03 16:44:03.215877,completed
83,195,2025-01-19 23:16:40.544382,pending
84,441,2025-10-28 08:32:48.901454,cancelled
85,356,2024-12-11 02:14:52.371499,refunded
86,150,2026-04-28 05:53:15.912076,pending
87,167,2026-04-10 19:33:07.904873,completed
88,289,2024-12-25 00:28:46.558668,pending
89,14,2024-10-09 10:07:41.155058,completed
90,150,2025-10-24 06:10:36.297989,pending
91,345,2025-03-12 23:32:06.915164,cancelled
92,367,2024-11-18 04:24:07.168084,cancelled
93,299,2025-02-05 14:46:26.385997,pending
95,469,2026-02-15 09:12:37.875304,completed
96,332,2024-07-25 10:52:28.209636,cancelled
97,496,2024-08-18 14:31:41.319899,completed
98,133,2026-02-11 05:49:56.638278,pending
99,114,2025-07-01 02:32:16.676444,cancelled
100,257,2025-09-27 10:49:41.287974,completed
101,472,2025-04-16 05:30:13.137226,completed
102,160,2024-09-22 07:02:21.336754,completed
103,50,2024-11-11 03:00:51.099656,completed
104,415,2024-09-23 16:43:43.312109,completed
105,410,2025-10-13 20:06:18.950967,completed
106,82,2026-05-29 21:30:52.697950,pending
107,323,2026-07-17 04:46:28.019904,completed
108,315,2025-10-18 13:50:25.818966,completed
109,110,2024-08-31 14:16:10.095128,completed
110,53,2025-11-01 18:41:53.691491,completed
111,59,2025-12-13 05:40:07.928154,cancelled
112,306,2026-02-17 01:55:36.652689,completed
